region,distrito,comuna
DE VALPARAISO,DISTRITO 6,RINCONADA
DE LOS RIOS,DISTRITO 24,RIO BUENO
DEL MAULE,DISTRITO 17,RIO CLARO
DE COQUIMBO,DISTRITO 5,RIO HURTADO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,RIO IBAÑEZ
DE LOS LAGOS,DISTRITO 25,RIO NEGRO
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,RIO VERDE
DEL MAULE,DISTRITO 17,ROMERAL
DE LA ARAUCANIA,DISTRITO 23,SAAVEDRA
DEL MAULE,DISTRITO 17,SAGRADA FAMILIA
DE COQUIMBO,DISTRITO 5,SALAMANCA
DE VALPARAISO,DISTRITO 7,SAN ANTONIO
METROPOLITANA DE SANTIAGO,DISTRITO 14,SAN BERNARDO
DE ÑUBLE,DISTRITO 19,SAN CARLOS
DEL MAULE,DISTRITO 17,SAN CLEMENTE
DE VALPARAISO,DISTRITO 6,SAN ESTEBAN
DE ÑUBLE,DISTRITO 19,SAN FABIAN
DE VALPARAISO,DISTRITO 6,SAN FELIPE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,SAN FERNANDO
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,SAN GREGORIO
DE ÑUBLE,DISTRITO 19,SAN IGNACIO
DEL MAULE,DISTRITO 18,SAN JAVIER
METROPOLITANA DE SANTIAGO,DISTRITO 10,SAN JOAQUIN
METROPOLITANA DE SANTIAGO,DISTRITO 12,SAN JOSE DE MAIPO
DE LOS LAGOS,DISTRITO 25,SAN JUAN DE LA COSTA
METROPOLITANA DE SANTIAGO,DISTRITO 13,SAN MIGUEL
DE ÑUBLE,DISTRITO 19,SAN NICOLAS
DE LOS LAGOS,DISTRITO 25,SAN PABLO
METROPOLITANA DE SANTIAGO,DISTRITO 14,SAN PEDRO
DE ANTOFAGASTA,DISTRITO 3,SAN PEDRO DE ATACAMA
DEL BIOBIO,DISTRITO 20,SAN PEDRO DE LA PAZ
DEL MAULE,DISTRITO 17,SAN RAFAEL
METROPOLITANA DE SANTIAGO,DISTRITO 13,SAN RAMON
DEL BIOBIO,DISTRITO 21,SAN ROSENDO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,SAN VICENTE
DEL BIOBIO,DISTRITO 21,SANTA BARBARA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,SANTA CRUZ
DEL BIOBIO,DISTRITO 20,SANTA JUANA
DE VALPARAISO,DISTRITO 6,SANTA MARIA
METROPOLITANA DE SANTIAGO,DISTRITO 10,SANTIAGO
DE VALPARAISO,DISTRITO 7,SANTO DOMINGO
DE ANTOFAGASTA,DISTRITO 3,SIERRA GORDA
METROPOLITANA DE SANTIAGO,DISTRITO 14,TALAGANTE
DEL MAULE,DISTRITO 17,TALCA
